Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
764,30,3,554,512,8,0,15.6,1080,4.1
765,30,3,755,512,16,0,15.6,1080,5.29
766,30,3,768,512,16,0,15.6,1080,5.29
767,30,1,1099,1000,16,1,13.4,1200,2.87
768,30,3,788,1000,8,0,17.3,1080,5.73
769,30,3,800,512,8,0,15.6,1080,5.29
775,30,1,750,512,8,0,15.6,1080,4.37
780,30,3,850,512,16,0,15.6,1080,4.1
781,30,3,685,256,8,0,15.6,1080,4.1
788,30,1,925,256,16,0,15.6,1080,4.83
789,30,3,1100,512,16,0,15.6,1080,5.07
796,30,1,1100,1000,8,0,14,1080,3.53
800,30,3,539,512,8,0,15.6,1080,4.85
801,30,3,721,256,8,0,15.6,1080,5.07
814,30,3,689,256,8,0,15.6,1080,4.85
815,30,1,643,256,8,0,15.6,1080,4.85
819,30,3,800,512,8,0,15.6,1080,5.07
821,30,3,685,512,8,0,15.6,1080,4.74
822,30,3,925,1000,16,0,15.6,1080,5.07
823,30,1,845,512,8,0,14,1080,3.53
831,30,3,886,512,16,0,15.6,1080,4.41
839,30,3,674,256,8,0,15.6,1080,4.1
841,30,1,1165,256,16,0,15.6,1080,5.29
843,30,3,960,1000,8,0,15.6,1080,5.07
847,30,1,1210,1000,16,1,13.4,1200,2.87
849,30,1,1199,1000,16,1,13.4,3842,2.87
850,30,1,1590,1000,32,1,13.4,3842,2.87
855,30,3,740,512,8,0,15.6,1080,5.07
856,30,3,685,512,8,0,15.6,1080,4.72
857,30,3,847,512,16,0,15.6,1080,4.41
858,30,3,1321,256,16,0,15.6,1080,5.14
863,30,1,745,256,8,0,15.6,1080,5.07
878,30,3,1210,256,16,0,15.6,1080,5.07
885,30,1,1165,256,16,0,15.6,1080,5.29
888,30,3,2659,1000,16,0,15.6,1080,3.7
897,30,1,820,512,8,0,15.6,1080,4.85
898,30,3,829,512,16,0,15.6,1080,5.07
907,30,1,685,512,8,0,15.6,1080,4.74
915,30,3,643,256,8,0,15.6,1080,5.07
920,30,3,639,512,8,0,15.6,1080,5.07
936,30,1,624,256,8,0,15.6,1080,4.85
941,30,3,1740,2000,16,0,15.6,1080,4.63
942,30,1,756,512,8,0,15.6,1080,4.85
959,30,1,519,512,8,0,15.6,1080,4.74
960,30,1,519,512,8,0,15.6,1080,4.74
965,30,3,1504,2000,16,0,15.6,1080,5.51
966,30,3,976,256,8,0,15.6,1080,4.08
5,40,3,950,512,16,0,14,1080,3
7,40,1,1120,1000,16,1,13.3,1080,2.89
11,40,3,1830,512,16,0,13.4,1080,2.56
12,40,1,1225,512,16,1,14,1080,3.15
23,40,3,275,128,4,0,14.1,1080,5.78
24,40,3,920,512,16,0,14,2880,3.31
25,40,3,1165,512,16,0,14,2880,3.31
26,40,3,1100,512,16,0,14,2880,3.06
27,40,3,1650,1000,16,1,14,2880,3.09
28,40,3,920,512,16,0,14,2880,3.31
29,40,3,1290,512,16,0,14,2880,3.06
